,datetime,open,high,low,close,volume
0,2021-07-09 09:15:00,35326.3,35303.0,35066.0,35095.95,251050
1,2021-07-09 09:20:00,35078.95,35106.65,35013.0,35080.35,178850
2,2021-07-09 09:25:00,35071.45,35106.75,35011.7,35093.25,128800
3,2021-07-09 09:30:00,35098.75,35142.0,35050.05,35074.2,116250
4,2021-07-09 09:35:00,35073.15,35109.45,35058.7,35084.5,56625
5,2021-07-09 09:40:00,35086.15,35111.65,35061.0,35076.65,36550
6,2021-07-09 09:45:00,35076.65,35079.1,34980.0,34986.3,135050
7,2021-07-09 09:50:00,34985.7,35049.35,34982.1,35049.0,61000
8,2021-07-09 09:55:00,35049.0,35090.85,35037.05,35082.85,55975
9,2021-07-09 10:00:00,35082.5,35139.0,35078.0,35120.05,76250
10,2021-07-09 10:05:00,35120.05,35136.0,35100.0,35114.3,60400
11,2021-07-09 10:10:00,35114.3,35121.1,35072.05,35112.2,44625
12,2021-07-09 10:15:00,35112.25,35209.0,35100.0,35191.8,64875
13,2021-07-09 10:20:00,35186.1,35265.8,35186.1,35221.0,121350
14,2021-07-09 10:25:00,35221.0,35260.0,35221.0,35251.85,44525
15,2021-07-09 10:30:00,35253.0,35258.8,35210.1,35227.05,44300
16,2021-07-09 10:35:00,35227.05,35334.65,35226.5,35308.3,145225
17,2021-07-09 10:40:00,35311.4,35366.65,35306.6,35341.05,108275
18,2021-07-09 10:45:00,35336.05,35370.0,35302.1,35315.1,45175
19,2021-07-09 10:50:00,35315.35,35339.8,35242.2,35268.0,59550
20,2021-07-09 10:55:00,35265.25,35282.7,35221.0,35222.95,42125
21,2021-07-09 11:00:00,35215.0,35229.0,35161.75,35177.15,67750
22,2021-07-09 11:05:00,35178.0,35238.0,35157.6,35227.4,84025
23,2021-07-09 11:10:00,35229.55,35248.45,35184.75,35194.5,19850
24,2021-07-09 11:15:00,35202.3,35210.45,35167.6,35175.25,23225
25,2021-07-09 11:20:00,35175.25,35177.15,35117.4,35139.95,58800
26,2021-07-09 11:25:00,35145.0,35178.0,35128.25,35156.0,24550
27,2021-07-09 11:30:00,35156.0,35176.3,35131.7,35175.0,20675
28,2021-07-09 11:35:00,35173.1,35230.0,35164.1,35190.25,41875
29,2021-07-09 11:40:00,35190.25,35229.35,35186.0,35221.95,12825
30,2021-07-09 11:45:00,35221.95,35241.0,35206.05,35210.0,18500
31,2021-07-09 11:50:00,35210.0,35264.0,35190.9,35259.6,25825
32,2021-07-09 11:55:00,35256.0,35288.85,35205.0,35217.0,26650
33,2021-07-09 12:00:00,35212.8,35226.85,35190.3,35204.05,13175
34,2021-07-09 12:05:00,35204.05,35233.95,35177.0,35221.7,21900
35,2021-07-09 12:10:00,35220.0,35240.0,35206.15,35240.0,9800
36,2021-07-09 12:15:00,35241.0,35250.0,35188.0,35190.0,23825
37,2021-07-09 12:20:00,35189.0,35208.2,35168.85,35177.3,18425
38,2021-07-09 12:25:00,35176.9,35215.0,35156.2,35191.1,21275
39,2021-07-09 12:30:00,35191.1,35238.0,35191.1,35229.95,18575
40,2021-07-09 12:35:00,35229.95,35262.5,35225.0,35242.35,20075
41,2021-07-09 12:40:00,35242.35,35245.25,35220.0,35221.0,11675
42,2021-07-09 12:45:00,35227.0,35310.35,35221.3,35303.6,45425
43,2021-07-09 12:50:00,35303.0,35364.5,35280.5,35345.0,80725
44,2021-07-09 12:55:00,35341.15,35345.35,35280.05,35280.05,51975
45,2021-07-09 13:00:00,35283.15,35295.0,35230.75,35232.0,44175
46,2021-07-09 13:05:00,35234.75,35298.0,35231.95,35270.4,22550
47,2021-07-09 13:10:00,35272.15,35284.9,35249.0,35249.0,10925
48,2021-07-09 13:15:00,35249.0,35268.95,35215.7,35223.25,17350
49,2021-07-09 13:20:00,35220.6,35244.85,35204.95,35213.15,18750
50,2021-07-09 13:25:00,35210.75,35254.6,35204.8,35218.25,10700
51,2021-07-09 13:30:00,35220.0,35273.65,35212.8,35224.3,18125
52,2021-07-09 13:35:00,35223.25,35258.0,35220.0,35230.7,17650
53,2021-07-09 13:40:00,35230.7,35272.75,35213.15,35228.75,16500
54,2021-07-09 13:45:00,35234.75,35245.4,35193.75,35237.95,34400
55,2021-07-09 13:50:00,35238.75,35265.0,35225.05,35257.75,16950
56,2021-07-09 13:55:00,35260.0,35260.0,35223.25,35245.6,14775
57,2021-07-09 14:00:00,35245.05,35314.0,35230.0,35293.65,39200
58,2021-07-09 14:05:00,35293.65,35300.95,35260.5,35279.9,18800
59,2021-07-09 14:10:00,35285.0,35309.0,35256.05,35290.55,23725
60,2021-07-09 14:15:00,35290.55,35290.55,35255.0,35260.95,17875
61,2021-07-09 14:20:00,35260.95,35281.85,35243.35,35263.55,10725
62,2021-07-09 14:25:00,35271.0,35271.0,35228.3,35252.0,16425
63,2021-07-09 14:30:00,35246.1,35250.0,35110.0,35136.15,123325
64,2021-07-09 14:35:00,35135.1,35202.0,35133.0,35169.8,45400
65,2021-07-09 14:40:00,35169.8,35338.0,35165.15,35281.1,87650
66,2021-07-09 14:45:00,35281.1,35339.0,35278.15,35324.4,44325
67,2021-07-09 14:50:00,35321.25,35321.25,35280.35,35286.0,30500
68,2021-07-09 14:55:00,35286.0,35305.0,35228.5,35269.65,45925
69,2021-07-09 15:00:00,35269.65,35276.55,35230.0,35264.05,58900
70,2021-07-09 15:05:00,35264.05,35265.0,35232.4,35238.0,35425
71,2021-07-09 15:10:00,35239.2,35316.5,35239.2,35263.9,61250
72,2021-07-09 15:15:00,35264.95,35286.0,35242.25,35277.25,56550
73,2021-07-09 15:20:00,35280.0,35305.6,35275.35,35277.4,82700
74,2021-07-09 15:25:00,35279.95,35283.8,35260.0,35269.9,82700
